Dates,Cycle Yes/No,Step Count
2021-01-12,0,2399.0
2021-01-13,0,3664.0
2021-01-14,0,3348.0
2021-01-15,0,2778.0
2021-01-16,0,2595.0
2021-01-17,0,1590.0
2021-01-18,0,2350.0
2021-01-19,0,2434.0
2021-01-20,0,2519.0
2021-01-21,0,3082.0
2021-01-22,0,9692.0
2021-01-23,0,3001.0
2021-01-24,1,2700.0
2021-01-25,1,3332.0
2021-01-26,1,1776.0
2021-01-27,1,191.0
2021-01-28,1,344.0
2021-01-29,0,1283.0
2021-01-30,0,432.0
2021-01-31,0,1931.0
2021-02-01,0,3712.0
2021-02-02,0,4451.0
2021-02-03,0,69.0
2021-02-04,0,1616.0
2021-02-05,0,3053.0
2021-02-06,0,38.0
2021-02-07,0,4037.0
2021-02-08,0,4378.0
2021-02-09,0,1201.0
2021-02-10,0,3305.0
2021-02-11,0,3887.0
2021-02-12,0,3773.0
2021-02-13,0,90.0
2021-02-14,0,99.0
2021-02-15,0,3132.0
2021-02-16,0,4043.0
2021-02-17,0,3221.0
2021-02-18,0,4712.0
2021-02-19,0,4507.0
2021-02-20,0,163.0
2021-02-21,1,379.0
2021-02-22,1,4740.0
2021-02-23,1,4137.0
2021-02-24,1,4359.0
2021-02-25,0,3617.0
2021-02-26,0,7414.0
2021-02-27,0,383.0
2021-02-28,0,3616.0
2021-03-01,0,2685.0
2021-03-02,0,4306.0
2021-03-03,0,3796.0
2021-03-04,0,4583.0
2021-03-05,0,3770.0
2021-03-06,0,1475.0
2021-03-07,0,3355.0
2021-03-08,0,4272.0
2021-03-09,0,3663.0
2021-03-10,0,5282.0
2021-03-11,0,5721.0
2021-03-12,0,8768.0
2021-03-13,0,4557.0
2021-03-14,0,163.0
2021-03-15,0,1228.0
2021-03-16,0,5201.0
2021-03-17,0,3246.0
2021-03-18,0,3703.0
2021-03-19,0,4936.0
2021-03-20,1,2106.0
2021-03-21,1,120.0
2021-03-22,1,4987.0
2021-03-23,1,3530.0
2021-03-24,1,83.0
2021-03-25,0,3354.0
2021-03-26,0,3574.0
2021-03-27,0,1239.0
2021-03-28,0,32.0
2021-03-29,0,4634.0
2021-03-30,0,3459.0
2021-03-31,0,3637.0
2021-04-01,0,4053.0
2021-04-02,0,1698.0
2021-04-03,0,1034.0
2021-04-04,0,1183.0
2021-04-05,0,3828.0
2021-04-06,0,4273.0
2021-04-07,0,2659.0
2021-04-08,0,3625.0
2021-04-09,0,6637.0
2021-04-10,0,288.0
2021-04-11,0,2605.0
2021-04-12,0,3453.0
2021-04-13,0,2862.0
2021-04-14,0,1917.0
2021-04-15,0,3368.0
2021-04-16,0,5291.0
2021-04-17,1,157.0
2021-04-18,1,5323.0
2021-04-19,1,3712.0
2021-04-20,1,1135.0
2021-04-21,1,3536.0
2021-04-22,0,3888.0
2021-04-23,0,1393.0
2021-04-24,0,2366.0
2021-04-25,0,243.0
2021-04-26,0,2573.0
2021-04-27,0,3946.0
2021-04-28,0,4583.0
2021-04-29,0,1489.0
2021-04-30,0,1911.0
2021-05-01,0,361.0
2021-05-02,0,1262.0
2021-05-03,0,55.0
2021-05-04,0,415.0
2021-05-06,0,1512.0
2021-05-07,0,1232.0
2021-05-08,0,487.0
2021-05-09,0,1054.0
2021-05-10,0,1602.0
2021-05-11,0,926.0
2021-05-12,0,541.0
2021-05-13,0,1444.0
2021-05-14,0,272.0
2021-05-15,1,2925.0
2021-05-16,1,179.0
2021-05-17,1,3762.0
2021-05-18,1,1036.0
2021-05-19,1,3146.0
2021-05-20,0,2176.0
2021-05-21,0,404.0
2021-05-22,0,1483.0
2021-05-23,0,1957.0
2021-05-24,0,1636.0
2021-05-25,0,3051.0
2021-05-26,0,2479.0
2021-05-27,0,1456.0
2021-05-28,0,190.0
2021-05-29,0,741.0
2021-05-30,0,1111.0
2021-05-31,0,1834.0
2021-06-01,0,1746.0
2021-06-02,0,1665.0
2021-06-03,0,4791.0
2021-06-04,0,2145.0
2021-06-05,0,1174.0
2021-06-06,0,791.47
2021-06-07,0,2885.0
2021-06-08,0,2318.0
2021-06-09,0,516.0
2021-06-10,0,1324.0
2021-06-11,0,1314.0
2021-06-12,0,6542.0
2021-06-13,1,3480.0
2021-06-14,1,4584.0
2021-06-15,1,1731.0
2021-06-16,1,6640.0
2021-06-17,1,1790.0
2021-06-18,1,1373.0
2021-06-19,0,2175.0
2021-06-20,0,3232.0
2021-06-21,0,9150.0
2021-06-22,0,2787.0
2021-06-23,0,6729.0
2021-06-24,0,3467.0
2021-06-25,0,5317.0
2021-06-26,0,3830.0
2021-06-27,0,4861.0
2021-06-28,0,11249.0
2021-06-29,0,3515.0
2021-06-30,0,3401.0
2021-07-01,0,5621.0
2021-07-02,0,11038.0
2021-07-03,0,4254.0
2021-07-04,0,5323.0
2021-07-05,0,7664.0
2021-07-06,0,3573.0
2021-07-07,0,6961.0
2021-07-08,0,4951.0
2021-07-09,0,3194.0
2021-07-10,0,1436.0
2021-07-11,1,3485.0
2021-07-12,1,3876.0
2021-07-13,1,10323.0
2021-07-14,1,3610.0
2021-07-15,1,4831.0
2021-07-16,0,2964.0
2021-07-17,0,7394.0
2021-07-18,0,7934.0
2021-07-19,0,4248.0
2021-07-20,0,1429.0
2021-07-21,0,4163.0
2021-07-22,0,6464.0
2021-07-23,0,2248.0
2021-07-24,0,2601.0
2021-07-25,0,3465.0
2021-07-26,0,3451.0
2021-07-27,0,5671.0
2021-07-28,0,10028.0
2021-07-29,0,3819.0
2021-07-30,0,8818.0
2021-07-31,0,2559.0
2021-08-01,0,9129.0
2021-08-02,0,5111.0
2021-08-03,0,188.0
2021-08-04,0,4428.0
2021-08-05,0,4272.0
2021-08-06,0,3083.0
2021-08-07,0,6111.0
2021-08-08,0,2743.0
2021-08-09,0,4145.0
2021-08-10,0,1243.0
2021-08-11,0,1398.0
2021-08-12,1,3069.0
2021-08-13,1,5701.0
2021-08-14,1,1925.0
2021-08-15,1,380.0
2021-08-16,1,7939.0
2021-08-17,0,5504.0
2021-08-18,0,1809.0
2021-08-19,0,10447.0
2021-08-20,0,1679.0
2021-08-21,0,7105.0
2021-08-22,0,7857.0
2021-08-23,0,5816.0
2021-08-24,0,2634.0
2021-08-25,0,5635.0
2021-08-26,0,2342.0
2021-08-27,0,2750.0
2021-08-28,0,6540.0
2021-08-29,0,9875.0
2021-08-30,0,5086.0
2021-08-31,0,10840.0
2021-09-01,0,16253.0
2021-09-02,0,3630.0
2021-09-03,0,6380.0
2021-09-04,0,3082.0
2021-09-05,0,7933.0
2021-09-06,0,958.0
2021-09-07,0,286.0
2021-09-08,1,789.0
2021-09-09,1,3893.0
2021-09-10,1,4780.0
2021-09-11,1,1125.0
2021-09-12,0,1154.0
2021-09-13,0,5078.0
2021-09-14,0,16727.0
2021-09-15,0,1360.0
2021-09-16,0,2477.0
2021-09-17,0,5651.0
2021-09-18,0,7637.0
2021-09-19,0,3223.0
2021-09-20,0,6313.0
2021-09-21,0,1707.0
2021-09-22,0,424.0
2021-09-23,0,9839.0
